Experiment,Parent Reference,Model,Loss Function,Task,Feature Set,Feature Count,Training Data,Number of trials,Search Method,Optimization metric,Validation Method,Compute
E01,,Logistic Regression,"Log loss, w/ ElasticNet regularization",Multiclass,base 15,15,2015 September (1m),1,,,,driver
E02,E01,Logistic Regression,Log loss,Multiclass,base 15,15,Q1 Q2 2015,1,,,,driver
E03,E01,XGBoost,Focal loss,Multiclass,base 15,15,2015 September (1m),5,,,,driver
E04,E01,XGBoost,Focal loss,Multiclass,base 15 + graph + prior 60m + weather delta,45,3 mo Q1 2015,100,Optuna TPE,macro F2,,driver
E05,E01,LightGBM,Focal loss,Multiclass,base 15 + graph + prior 60m + weather delta,45,3 mo Q1 2015,5,Optuna TPE,macro F2,,driver
E06,E01,XGBoost,Weighted cross entropy,Binary,base 15 + graph + prior 60m + weather delta,45,3 mo Q1 2015,1,,,,2 Workers
E07,E01,XGBoost,Weighted cross entropy,Multiclass,base 15 + graph + prior 60m + weather delta,45,3 mo Q1 2015,1,,,,2 Workers
E08,,XGBoost,Focal loss,Binary,base 15 + graph + prior 60m + weather delta,45,3 mo Q1 2015,100,Optuna TPE,macro F2,,driver
E09,,LightGBM,Focal loss,Binary,base 15 + graph + prior 60m + weather delta,45,3 mo Q1 2015,5,Optuna TPE,macro F2,,driver
E10,,Logistic Regression,Log loss,Binary,base 15 + prior 60m + weather delta (no graph),39,1 yr Q1 to Q3 2015,1,,,2015 Q4 holdout,2 Workers
E11,E01,Logistic Regression,Log loss,Multiclass,base 15 + prior 60m + weather delta (no graph),39,1 yr Q1 to Q3 2015,1,,,,2 Workers
E12,E08,XGBoost,Focal loss,Binary,base 15 + graph + prior 60m + weather delta,45,1 yr Q1 to Q3 2015,100,Optuna TPE,macro F2,2015 Q4 holdout,driver
E13,E12,XGBoost,Weighted cross entropy,Binary,base 15 + graph + prior 60m + weather delta,45,1 yr Q1 to Q3 2015,1,,,2015 Q4 holdout,2 Workers
E14,E12,XGBoost,Weighted cross entropy,Multiclass,base 15 + graph + prior 60m + weather delta,45,1 yr Q1 to Q3 2015,1,,,,2 Workers
E15,,LSTM,Focal loss,Binary,base 15 + graph + prior 60m + weather delta,45,1 yr Q1 to Q3 2015,10,Optuna TPE,macro F2,2015 Q4 holdout,2 Workers
E16,E15,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,lean: 3 prior 60m delay ratios + label + gap,5,3 mo Q1 2015,50,Optuna TPE,macro F2,Mar 18-31 2015 holdout,4 workers
E17,E16,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,lean: 3 prior 60m delay ratios + label + gap,5,1 yr Q1 to Q3 2015,100 attempts / 22 completed,Optuna TPE,macro F2,Sept 2015 holdout,"4 workers, then 2-4 x T4"
E18,E17,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,matrix 16: 5 prior 60m ratios + 2 flight counts + CRS_DEP_TIME/DOW/QUARTER + 4 weather + 2 weather delta + label + gap,18,2016 Q1 to Q3,30,Optuna TPE,F2 c1 (C0 floor 0.80),2016 Q4 holdout,3-4 x T4
E19,E18,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,matrix 16: 5 prior 60m ratios + 2 flight counts + CRS_DEP_TIME/DOW/QUARTER + 4 weather + 2 weather delta + label + gap,18,2015 to H1 2018,30 (in progress),Optuna TPE,F2 c1 (C0 floor 0.80),H2 2018 holdout,4 workers
E20,E19,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,matrix 16: 5 prior 60m ratios + 2 flight counts + CRS_DEP_TIME/DOW/QUARTER + 4 hourly weather + 2 weather 3h deltas,18,2015 to 2018,30 verdicts (2 complete),Optuna TPE,F2 c1 (C0 floor 0.80),Expanding CV: val 2016 / 2017 / 2018 + 2019 holdout,4 workers
E21,E20,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,matrix 17: E20 features + prev_delay,19,2015 to 2018,"33 attempts / 12 verdicts (2 complete, 10 pruned)","Optuna TPE (space adds dropout, bidirectional, weight decay)",F2 c1 (C0 floor 0.80),Expanding CV: val 2016 / 2017 / 2018 (2019 not scored — prev_delay absent from blind store),4 workers
E22,,"Multi-layer Perceptron (MLP), 1 hidden layer",Cross entropy loss,Binary,base 15 + graph + prior 60m + weather delta + prior flight,46,2015 to 2018,10,Grid search,F2 c1,Expanding CV,3 workers
E23,E22,"Multi-layer Perceptron (MLP), 2 hidden layers",Cross entropy loss,Binary,base 15 + graph + prior 60m + weather delta + prior flight,46,2015 to 2018,10,Grid search,F2 c1,Expanding CV,3 workers
E24,,Logistic Regression,Cross entropy loss,Binary,base 15 + prior 60m + weather delta + prior flight delay (no graph) ,40,2015 to 2018,20,Bayesian Search,F2 c1,Expanding CV,2 workers
E25,,XGBoost,Cross entropy loss,Binary,base 15 + graph + prior 60m + weather delta + prior flight,46,2015 to 2018,20,Bayesian Search,F2 c1,Expanding CV,2 workers
